,ISIN CODE,NAME,TICKER SYMBOL,trade_count,n_distinct_traders,n_distinct_trade_types,ts_rows,reason_to_exclude
700,US13124Q1067,CALLIDITAS THERAPEUTICS ADR 1:2,NA,5,4,2,1509.0,NA ticker
761,US14888L1017,CATALYST BANCORP,NA,5,4,2,1100.0,NA ticker
790,US15130M1027,CENAQ ENERGY A,NA,5,4,2,1509.0,NA ticker
955,US20084V1089,COMMERCEHUB 'A' DEAD - DELIST.22/05/18,NA,5,4,2,107.0,NA ticker
1037,US22677T1025,CRIXUS BH3 ACQUISITION COMPANY A A,NA,5,4,2,407.0,NA ticker
1057,US2310828015,CUMULUS MEDIA A,NA,5,4,2,877.0,NA ticker
1157,US2332371069,DNB FINL. DEAD - DELIST.02/12/19,NA,5,4,2,1509.0,NA ticker
1182,US23344T1034,DTRT HEALTH ACQUISITION A,NA,5,4,2,1509.0,NA ticker
1136,US2538931013,DIGITAL HEALTH ACQUISITION,NA,5,4,2,776.0,NA ticker
1143,US25461T1051,DIRECT DIGITAL HOLDINGS A,NA,5,4,2,1509.0,NA ticker
1221,US27900N1037,ECO WAVE POWER GLOBAL AB PUBL ADR 1:8,NA,5,4,2,1509.0,NA ticker
1233,US28226B1044,EGALET DEAD - DELIST.04/02/19,NA,5,4,2,667.0,NA ticker
1366,US30227M1053,EXTRACTION OIL GAS (OTC) DEAD - DELIST.20/01/21,NA,5,4,2,1509.0,NA ticker
1388,US30258N6004,FAT BRANDS B,NA,5,4,2,376.0,NA ticker
1532,US30320F1066,FTAC ZEUS ACQUISITION A,NA,5,4,2,1509.0,NA ticker
21,US33830Q1094,5E ADVANCED MATERIALS,NA,5,4,2,1509.0,NA ticker
1477,US34417L1098,FOCUS IMPACT ACQUISITION A,NA,5,4,2,164.0,NA ticker
1483,US3455231049,FORESIGHT AUTONOMOUS HDG.SPN.ADR 1:5,NA,5,4,2,932.0,NA ticker
18,US35085K1097,4D PHARMA AMERICAN DEPOSITARY SHARES 1:8,NA,5,4,2,1509.0,NA ticker
1571,US36164V1070,GCI LIBERTY A1 DEAD - DELIST.09/03/18,NA,5,4,2,1509.0,NA ticker
1706,US36260F1057,GX ACQUISITION II A,NA,5,4,2,962.0,NA ticker
1611,US3785791068,GLENFARNE MERGER A,NA,5,4,2,723.0,NA ticker
1625,US37892F1093,GLOBALINK INVESTMENT,NA,5,4,2,183.0,NA ticker
1650,US38286Q1076,GORES GUGGENHEIM A,NA,5,4,2,1509.0,NA ticker
1672,US39531G1004,GREENIDGE GENERATION HOLDINGS A,NA,5,4,2,169.0,NA ticker
1755,US42240Q1040,HEARTCORE ENTERPRISES,NA,5,4,2,1509.0,NA ticker
1769,US42600H1086,HENNESSY CAPITAL INVESTMENT VI A,NA,5,4,2,289.0,NA ticker
1798,US43734R1032,HOME PLATE ACQUISITION A,NA,5,4,2,1509.0,NA ticker
1867,US45173W1053,IDEX BIOMETRICS ASA ADR 1:75,NA,5,4,2,982.0,NA ticker
1902,US45254U1016,IMMURON SPN.ADR 1:40,NA,5,4,2,1509.0,NA ticker
1911,US45333D1046,INCEPTION GROWTH ACQUISITION,NA,5,4,2,1305.0,NA ticker
1910,US45333L1061,INCANNEX HEALTHCARE ADR 1:25,NA,5,4,2,1509.0,NA ticker
2000,US46124U1079,INVENTIVA ADR 1:1,NA,5,4,2,868.0,NA ticker
2062,US4771771098,JETPAY DEAD - DELIST.07/12/18,NA,5,4,2,1509.0,NA ticker
2143,US49907V1026,KNIGHTSCOPE A,NA,5,4,2,545.0,NA ticker
2172,US51477A1043,LANDCADIA HOLDINGS IV A,NA,5,4,2,1509.0,NA ticker
2184,US51724W1071,LARKSPUR HEALTH ACQUISITION A,NA,5,4,2,1158.0,NA ticker
2205,US52473Y1047,LEGATO MERGER II,NA,5,4,2,1509.0,NA ticker
2224,US53046P2083,LIBERTY EXPEDIA HDG.CL.B DEAD - DELIST.29/07/19,NA,5,4,2,1509.0,NA ticker
2255,US53263P1057,LIMBACH HOLDINGS,NA,5,4,2,902.0,NA ticker
2265,US5362621089,LIONHEART III A,NA,5,4,2,1509.0,NA ticker
2354,US56608A1051,MARBLEGATE ACQUISITION A,NA,5,4,2,1509.0,NA ticker
2392,US58286E1029,MDXHEALTH ADR 1:10,NA,5,4,2,662.0,NA ticker
2393,US5834351026,MEATECH 3D ADR 1:10,NA,5,4,2,1509.0,NA ticker
2474,US60436Q1004,MINORITY EQUALITY OPPS. ACQ.A,NA,5,4,2,1509.0,NA ticker
2489,US60765P1030,MODERN MEDIA ACQ. DEAD - DELIST.12/09/19,NA,5,4,2,1509.0,NA ticker
2512,US61240F1084,MONTEREY BIO ACQUISITION,NA,5,4,2,937.0,NA ticker
2517,US6177602025,MORPHOSYS 4 ADR 4:1,NA,5,4,2,376.0,NA ticker
2543,US62857X1019,MYNARIC ADS 1:1,NA,5,4,2,1509.0,NA ticker
2553,US63008J1088,NANOVIBRONIX,NA,5,4,2,941.0,NA ticker
2551,US63009J1079,NANOBIOTIX ADR 1:1,NA,5,4,2,1509.0,NA ticker
2621,US6514501088,NEWHOLD INVESTMENT II A,NA,5,4,2,1509.0,NA ticker
2627,US65344E1073,NEXGEL,NA,5,4,2,125.0,NA ticker
2677,US67010L1008,NOVONIX ADS 1:4,NA,5,4,2,824.0,NA ticker
2772,US6710051060,OPY ACQUISITION I A,NA,5,4,2,1259.0,NA ticker
2739,US68218C1080,OMNILIT ACQUISITION A,NA,5,4,2,1458.0,NA ticker
2758,US68373J1043,OPEN LENDING A,NA,5,4,2,1509.0,NA ticker
2791,US68633D1037,ORITANI FINANCIAL DEAD - DELIST.02/12/19,NA,5,4,2,1509.0,NA ticker
2799,US6888233011,OTELCO 'A' DEAD - DELIST.01/04/21,NA,5,4,2,1509.0,NA ticker
2822,US69512X1037,PACIFICO ACQUISITION,NA,5,4,2,333.0,NA ticker
2834,US69882P1021,PAPAYA GROWTH OPPORTUNITY I A,NA,5,4,2,1509.0,NA ticker
2891,US71367G1022,PERELLA WEINBERG PARTNERS A A,NA,5,4,2,34.0,NA ticker
2907,US71716E1055,PHARMING GROUP N V ADS EACH 1:10,NA,5,4,2,1509.0,NA ticker
2917,US71902K1051,PHOENIX BIOTECH ACQUISITION A,NA,5,4,2,1056.0,NA ticker
2996,US74275G1076,PRIORITY TECHNOLOGY HOLDINGS,NA,5,4,2,1509.0,NA ticker
3006,US74327P1057,PROGRESS ACQUISITION A,NA,5,4,2,1509.0,NA ticker
3195,US77118V1089,ROC ENERGY ACQUISITION,NA,5,4,2,700.0,NA ticker
3263,US8082121042,SCHULTZE SPECIAL PURPOSE ACQUISITION II A,NA,5,4,2,797.0,NA ticker
3363,US82686Q1013,SILENCE THERAPEUTICS ADR 1:3,NA,5,4,2,1509.0,NA ticker
3372,US8281741020,SILVER SPIKE INVESTMENT,NA,5,4,2,1509.0,NA ticker
3402,US83204U1034,SMART FOR LIFE,NA,5,4,2,1509.0,NA ticker
3428,US8342032005,SOLENO THERAPEUTICS,NA,5,4,2,1509.0,NA ticker
3462,US84854Q1031,SPINDLETOP HEALTH ACQUISITION A,NA,5,4,2,229.0,NA ticker
3473,US85205U1079,SPRINGWATER SPECIAL SITUATIONS,NA,5,4,2,507.0,NA ticker
3535,US86725N1028,SUNDANCE ENERGY DEAD - DELIST.26/04/21,NA,5,4,2,1063.0,NA ticker
3606,US87807D1037,TC BIOPHARM HOLDINGS ADR 1:1,NA,5,4,2,43.0,NA ticker
3613,US87823R1023,TECH AND ENERGY TRANSITION A,NA,5,4,2,1509.0,NA ticker
3641,US88231Q1085,TEXAS COMMUNITY BANCSHARES,NA,5,4,2,332.0,NA ticker
3665,US88605L1070,THUNDER BRIDGE CAPITAL PARTNERS IV A,NA,5,4,2,1381.0,NA ticker
3717,US89484T1043,TREMOR INTL.AMER. DPSH. 1:2,NA,5,4,2,936.0,NA ticker
3720,US89601Y1010,TRIBE CAPITAL GROWTH I A,NA,5,4,2,1509.0,NA ticker
3748,US8986972060,TUCOWS 'A',NA,5,4,2,92.0,NA ticker
3749,US89904V1017,TUESDAY MORNING,NA,5,4,2,1509.0,NA ticker
3838,US92025Y1038,VALNEVA SE ADR 1:2,NA,5,4,2,852.0,NA ticker
3920,US92838J1034,VISION SENSING ACQUISITION A,NA,5,4,2,1509.0,NA ticker
3918,US92838K1007,VISCOGLIOSI BROTHERS ACQUISITION,NA,5,4,2,620.0,NA ticker
3964,US9504151096,WELSBACH TECHNOLOGY METALS ACQUISITION,NA,5,4,2,1509.0,NA ticker
3993,US97655B1098,WINVEST ACQUISITION,NA,5,4,2,1509.0,NA ticker
3996,US97727L2007,WISEKEY INTHDG.ADR 1:5,NA,5,4,2,1509.0,NA ticker
4005,US98212N1072,WRAP TECHNOLOGIES,NA,5,4,2,1159.0,NA ticker
4043,US98741L1017,YOSHITSU ADR 1:1,NA,5,4,2,64.0,NA ticker
4054,US98920Y3045,ZEALAND PHARMA ADR.1:1,NA,5,4,2,1160.0,NA ticker
58,VGG0083E1025,ACE GLOBAL BUSINESS ACQUISITION,NA,5,4,2,606.0,NA ticker
674,VGG1686P1062,BULL HORN HOLDINGS,NA,5,4,2,77.0,NA ticker
1207,VGG2911D1087,EAST STONE ACQUISITION,NA,5,4,2,1509.0,NA ticker
1247,VGG3105C1041,ELECTRUM SPECIAL ACQ. DEAD - DELIST.07/06/18,NA,5,4,2,1239.0,NA ticker
2671,VGG6759A1003,NOVA VISION ACQUISITION,NA,5,4,2,183.0,NA ticker
4077,US98986T1088,ZYNGA 'A',ZNGA,1346,37,8,,No timeseries data
3651,CA85570W1005,THE STARS GROUP (NAS) DEAD - DELIST.06/05/20,0VIO,0,0,0,714.0,No trades done
97,US00790T1007,ADVANCED ACCLR.APPS.ADR 1:2,AAAP,0,0,0,1488.0,No trades done
408,US00211V1061,ATA CREATIVITY GLOBAL ADR 1:2,AACG,0,0,0,212.0,No trades done
366,US04208V1035,ARMADA ACQUISITION I,AACI,0,0,0,315.0,No trades done
34,US0003802040,ABCAM ADR 1:1,ABCM,0,0,0,2.0,No trades done
37,KYG004961028,ABG ACQUISITION I A,ABGI,0,0,0,1509.0,No trades done
38,KYG8789K1242,ABILITY,ABILF,0,0,0,1509.0,No trades done
422,US0484531043,ATLANTIC COASTAL ACQUISITION A,ACAH,0,0,0,817.0,No trades done
57,KYG0083D1209,ACE CONVERGENCE ACQUISITION A,ACEV,0,0,0,1042.0,No trades done
65,US00449L1026,ACHILLES THERP. AMER. DEPY.SHS.1:1,ACHL,0,0,0,950.0,No trades done
44,CH0329023102,AC IMMUNE,ACIU,0,0,0,250.0,No trades done
1913,KYG4761A1013,INDEPENDENCE HOLDINGS A,ACQR,0,0,0,113.0,No trades done
50,CA00430K8730,ACASTI PHARMA (NAS),ACST,0,0,0,1509.0,No trades done
348,KYG0R21B1044,ARCLIGHT CLEAN TRANSITION II A,ACTD,0,0,0,1509.0,No trades done
78,US0053291078,ADAGENE 4 ADR 4:5,ADAG,0,0,0,682.0,No trades done
301,KYG039591063,ANTHEMIS DIGITAL ACQUISITIONS I A,ADAL,0,0,0,1509.0,No trades done
12,US90138P1003,26 CAPITAL ACQUISITION A,ADER,0,0,0,1509.0,No trades done
1228,KYG4000A1022,EDOC ACQUISITION A,ADOC,0,0,0,1509.0,No trades done
94,IE000DU292E6,ADS TEC ENERGY,ADSE,0,0,0,933.0,No trades done
85,US00654J1079,ADDEX THERAPEUTICS ADR 1:6,ADXN,0,0,0,964.0,No trades done
450,KYG066071088,AUTHENTIC EQUITY ACQUISITION A,AEAC,0,0,0,180.0,No trades done
226,US02157M1080,ALTENERGY ACQUISITION A,AEAE,0,0,0,936.0,No trades done
299,VGG041JN1065,ANTELOPE ENTERPRISE HOLDINGS,AEHL,0,0,0,149.0,No trades done
114,US0077441055,AEROCLEAN TECHNOLOGIES,AERC,0,0,0,948.0,No trades done
120,CA0079754028,AETERNA ZENTARIS (NAS),AEZS,0,0,0,1509.0,No trades done
125,US0010401042,AF ACQUISITION A,AFAQ,0,0,0,285.0,No trades done
127,NL0010872420,AFFIMED,AFMD,0,0,0,164.0,No trades done
130,KYG011251066,AFYA,AFYA,0,0,0,1509.0,No trades done
133,KYG012021039,AGILE GROWTH A,AGGR,0,0,0,1312.0,No trades done
138,VGG0132V1058,AGM GROUP HOLDINGS A,AGMH,0,0,0,284.0,No trades done
167,US98422P1084,AKSO HEALTH GROUP ADR 1:3,AHG,0,0,0,1509.0,No trades done
145,KYG013221091,AHREN ACQUISITION A,AHRN,0,0,0,765.0,No trades done
119,US00809M1045,AESTHETIC MED. INTHDG. GP.ADR 1:3,AIH,0,0,0,329.0,No trades done
3309,US8172251055,SENMIAO TECHNOLOGY,AIHS,0,0,0,1509.0,No trades done
62,US0044491043,ACHAOGEN DEAD - DELIST.21/06/21,AKAOQ,0,0,0,364.0,No trades done
3468,KYG8372A1031,SPORTS VENTURES ACQUISITION A,AKIC,0,0,0,242.0,No trades done
179,US00161P1093,ALFI,ALF,0,0,0,1509.0,No trades done
191,US0167441049,ALLARITY THERAPEUTICS,ALLR,0,0,0,1509.0,No trades done
220,KYG0231L1077,ALSP ORCHID ACQUISITION I A,ALOR,0,0,0,1509.0,No trades done
209,US02073F1049,ALPHA HEALTHCARE ACQUISITION III A,ALPA,0,0,0,1509.0,No trades done
230,US02156Y1038,ALTITUDE ACQUISITION A,ALTU,0,0,0,395.0,No trades done
186,CA01643B1067,ALITHYA GP.SUBD. VTG. SHS.A,ALYA,0,0,0,1509.0,No trades done
247,US02369M1027,AMER.ACQ.OPPOR.A,AMAO,0,0,0,164.0,No trades done
244,US00166R1005,AMCI ACQUISITION II A,AMCI,0,0,0,67.0,No trades done
222,US02133L1098,ALTA MESA RESOURCES A DEAD - DELIST.09/06/20,AMRQQ,0,0,0,617.0,No trades done
275,US03217L1061,AMRYT PHARMA ADR 1:5,AMYT,0,0,0,206.0,No trades done
288,KYG0369L1014,ANGHAMI,ANGH,0,0,0,288.0,No trades done
296,US03635R1077,ANPAC BIO MEDICAL SCIENCE ADR 1:1,ANPC,0,0,0,170.0,No trades done
154,US00941Q1040,AIRNET TECH.ADS 1:10,ANTE,0,0,0,1509.0,No trades done
303,US03737A1016,ANZU SPECIAL ACQUISITION I A,ANZU,0,0,0,468.0,No trades done
367,US0426441046,AROGO CAPITAL ACQUISITION A,AOGO,0,0,0,181.0,No trades done
3511,KYG850941033,STONEBRIDGE ACQUISITION A,APAC,0,0,0,1509.0,No trades done
327,KYG6096M1069,APTORUM GROUP A,APM,0,0,0,229.0,No trades done
479,US05467C1080,AXONPRIME INFR.ACQ. A,APMI,0,0,0,163.0,No trades done
328,CA03835T2002,APTOSE BIOSCIENCES (NAS),APS,0,0,0,51.0,No trades done
210,KYG632901115,ALPHA PARTNERS TECHNOLOGY MERGER A,APTM,0,0,0,1509.0,No trades done
389,BMG0535E1066,ASIA PACIFIC WIRE CABLE,APWC,0,0,0,247.0,No trades done
329,KYG0440J1094,APX ACQUISITION I A,APXI,0,0,0,89.0,No trades done
337,IL0011796625,ARBE ROBOTICS,ARBE,0,0,0,206.0,No trades done
112,US00775W1027,AEQUI ACQUISITION A,ARBG,0,0,0,1057.0,No trades done
349,KYG045531061,ARCO PLATFORM A,ARCE,0,0,0,279.0,No trades done
338,US03881F1049,ARBOR RAPHA CAPITAL BIOHOLDINGS I A,ARCK,0,0,0,44.0,No trades done
333,US0385054004,ARADIGM DEAD - DELIST.30/06/20,ARDMQ,0,0,0,63.0,No trades done
260,US02919L2088,AMERICAN REBEL HOLDINGS,AREB,0,0,0,1509.0,No trades done
358,US0402212023,ARGOS THERAPEUTICS DEAD - DELIST.25/09/19,ARGSQ,0,0,0,261.0,No trades done
359,US04026L1052,ARGUS CAPITAL A,ARGU,0,0,0,96.0,No trades done
355,US04016X1019,ARGENX SPN.ADR 1:1,ARGX,0,0,0,278.0,No trades done
334,CA03852X1006,ARALEZ PHARMACEUTICALS DEAD - DELIST.21/05/19,ARLZQ,0,0,0,960.0,No trades done
369,KYG0567U1013,ARQIT QUANTUM,ARQQ,0,0,0,379.0,No trades done
377,US04282M1027,ARROWROOT ACQUISITION A,ARRW,0,0,0,28.0,No trades done
381,KYG0509L1023,ARTISAN ACQUISITION A,ARTA,0,0,0,290.0,No trades done
374,LU2314763264,ARRIVAL,ARVL,0,0,0,49.0,No trades done
401,US04637C1062,ASTREA ACQUISITION A,ASAX,0,0,0,234.0,No trades done
390,US04522R1014,ASLAN PHARMACEUTICALS ADR 1:5,ASLN,0,0,0,253.0,No trades done
391,USN070592100,ASML HLDG.ADR 1:1,ASML,0,0,0,74.0,No trades done
387,US04351P1012,ASCENDIS PHARMA ADR 1:1,ASND,0,0,0,21.0,No trades done
42,US00085X1054,ABRI SPAC I,ASPA,0,0,0,1509.0,No trades done
207,KYG0316P1303,ALP.CAP.ACQ.CO.ONE A,ASPC,0,0,0,684.0,No trades done
180,CA0156581070,ALGOMA STEEL GROUP,ASTL,0,0,0,1509.0,No trades done
227,US02155X1063,ALTERITY THERAPEUTICS ADR 1:60,ATHE,0,0,0,852.0,No trades done
418,VGG0602B2093,ATIF HOLDINGS,ATIF,0,0,0,950.0,No trades done
437,US0498362088,ATTIS INDUSTRIES DEAD - DELIST.15/04/20,ATIS,0,0,0,315.0,No trades done
443,IL0010829658,AUDIOCODES (NAS),AUDC,0,0,0,239.0,No trades done
447,KYG0698L1032,AURORA ACQUISITION A,AURC,0,0,0,217.0,No trades done
452,US05280R1005,AUTOLUS THERAPEUTICS ADR 1:1,AUTL,0,0,0,119.0,No trades done
458,US05338E1010,AVALON ACQUISITION A,AVAC,0,0,0,811.0,No trades done
30,US00234P1021,A V HOMES DEAD - DELIST.03/10/18,AVHI,0,0,0,466.0,No trades done
430,GB00BLP5YB54,ATLN.SUST.INFR.,AY,0,0,0,211.0,No trades done
393,US0453271035,ASPEN TECHNOLOGY,AZPN,0,0,0,210.0,No trades done
514,KYG089081080,BAOSHENG MEDIA GROUP HOLDINGS,BAOS,0,0,0,1509.0,No trades done
664,US11374E1047,BROOKLINE CAPITAL ACQUISITION,BCAC,0,0,0,1509.0,No trades done
488,IL0011076630,B COMMUNICATIONS (OTC),BCOM,0,0,0,853.0,No trades done
594,KYG117651078,BKCN.COINVESTORS ACQ.I A,BCSA,0,0,0,248.0,No trades done
541,US08179B1035,BENESSERE CAPITAL ACQUISITION A,BENE,0,0,0,781.0,No trades done
565,US09077D1000,BIOFRONTERA,BFRI,0,0,0,1509.0,No trades done
604,KYG1329V1068,BLU.HAT INTACT. ENTM.,BHAT,0,0,0,120.0,No trades done
494,US0567521085,BAIDU ADS 1:8,BIDU,0,0,0,33.0,No trades done
557,US0900401060,BILIBILI ADR 1:1,BILI,0,0,0,1163.0,No trades done
580,KYG112171171,BIOPLUS ACQUISITION A,BIOS,0,0,0,1509.0,No trades done
583,KYG1125A1085,BIOTECH ACQUISITION A,BIOT,0,0,0,1509.0,No trades done
561,KYG1117K1141,BIOCERES CROP SOLUTIONS,BIOX,0,0,0,1509.0,No trades done
589,VGG1288E1034,BIQI INTERNATIONAL HOLDINGS,BIQIF,0,0,0,352.0,No trades done
592,CA09173B1076,BITFARMS (NAS),BITF,0,0,0,1509.0,No trades done
616,US09610L1061,BLUECITY HDG.AMER. DEPY. SHS.2:1,BLCT,0,0,0,1509.0,No trades done
496,CA0585861085,BALLARD PWR.SYS. (NAS),BLDP,0,0,0,50.0,No trades done
601,KYG117281058,BLEUACACIA A,BLEU,0,0,0,1174.0,No trades done
570,US09071M2052,BIOLINERX ADS 1:15,BLRX,0,0,0,1095.0,No trades done
648,US10920K1016,BRIGHT LIGHTS ACQUISITION A,BLTS,0,0,0,406.0,No trades done
602,US09370F1093,BLOCKCHAIN MOON ACQUISITION,BMAQ,0,0,0,1509.0,No trades done
512,US06654K1016,BANNER ACQUISITION A,BNNR,0,0,0,306.0,No trades done
679,US12233L1070,BURNING ROCK BIOTECH ADS 1:1,BNR,0,0,0,1509.0,No trades done
628,VG0985293088,BONSO ELTN.INTL.,BNSO,0,0,0,722.0,No trades done
577,US09075V1026,BIONTECH SE ADR 1:1,BNTX,0,0,0,82.0,No trades done
610,KYG1330L1059,BLUE OCEAN ACQUISITION A,BOCN,0,0,0,1509.0,No trades done
627,KYG144921056,BON NATURAL LIFE,BON,0,0,0,1509.0,No trades done
489,IL0010828171,B O S BETTER ONLINE SOLUTIONS,BOSC,0,0,0,155.0,No trades done
504,US0645201098,BANK OF PRINCETON,BPRN,0,0,0,1509.0,No trades done
640,US1067621078,BREEZE HOLDINGS ACQUISITION,BREZ,0,0,0,1509.0,No trades done
492,US05602L1044,B RILEY PRINCIPAL 250 MERGER A,BRIV,0,0,0,259.0,No trades done
680,US1230131047,BURTECH ACQUISITION A,BRKH,0,0,0,478.0,No trades done
652,VGG1643W1115,BRILLIANT ACQUISITION,BRLI,0,0,0,1432.0,No trades done
661,KYG1611B1077,BROOGE ENERGY,BROG,0,0,0,1042.0,No trades done
491,US05601V1035,B RILEY PRINCIPAL 150 MERGER A,BRPM,0,0,0,259.0,No trades done
611,VGG1195R1064,BLUE SAFARI GROUP ACQUISITION A,BSGA,0,0,0,1507.0,No trades done
590,VGG1144D1096,BIT BROTHER A,BTB,0,0,0,134.0,No trades done
670,US0557MQ2066,BT BRANDS,BTBD,0,0,0,1509.0,No trades done
591,KYG1144A1058,BIT DIGITAL,BTBT,0,0,0,1509.0,No trades done
644,KYG1355V1032,BRIDGETOWN 2 HOLDINGS A,BTNB,0,0,0,1509.0,No trades done
862,KYG216211006,CHINA XIANGTAI FOOD,BTOG,0,0,0,530.0,No trades done
